order_no,order_qty,ind_price,sales,order_date,status,quarter,month,year,product_type,product_code,cust_nm,country,order_size
10001,29,94.7,2746.3,41330,Shipped,1,2,2013,Bikes,1678,Toysworld,USA,Medium
10002,32,79.35,2675.04,41400,Shipped,2,5,2013,Bikes,1678,Super Toys,France,Medium
10003,38,91.74,3486.12,41453,Shipped,2,6,2013,Bikes,1678,TBN Toys,France,Medium
10004,41,82.049,3372.66,41509,Shipped,3,8,2013,Bikes,1678,ABC Corp,USA,Large
10005,48,100,4800,41558,Shipped,4,10,2013,Bikes,1678,Mind Games,USA,Large
10006,34,94.66,3218.44,41574,Shipped,4,10,2013,Bikes,1678,Techno Toys,USA,Medium
10007,26,83.13,2161.38,41586,Shipped,4,11,2013,Bikes,1678,Qualy Toys,France,Medium
10008,44,100,4400,41594,Disputed,4,11,2013,Bikes,1678,HFT Gifts,Norway,Large
10009,21,97.57,2048.97,41610,Shipped,4,12,2013,Bikes,1678,Wonder Toys,USA,Small
10010,39,98,3822,41653,Shipped,1,12,2014,Bikes,1678,ACN ,France,Medium
10011,34,97,3298,41687,Shipped,1,2,2014,Bikes,1678,AUS Toys Co.,Australia,Medium
10012,19,100,1900,41732,Shipped,2,4,2014,Bikes,1678,Micro Games Inc,USA,Small
10013,27,100,2700,41778,In Process,2,5,2014,Bikes,1678,Tikini Inc.,USA,Medium
10014,32,98,3136,41817,Shipped,2,6,2014,Bikes,1678,Giftware Inc ,USA,Medium
10015,42,89.83,3772.86,41840,Shipped,3,7,2014,Bikes,1678,RGS Gifts,France,Large
10016,32,100,3200,41876,Shipped,3,8,2014,Bikes,1678,Marat Toys,USA,Medium
10017,22,100,2200,41913,Shipped,4,10,2014,Bikes,1678,FIN Corp.,Finland,Small
10018,39,98,3822,41926,Shipped,4,10,2014,Bikes,1678,Baani Imports,Norway,Medium
10019,43,91.74,3944.82,41942,In Process,4,10,2014,Bikes,1678,DCCS Inc.,NA,Large
10020,38,100,3800,41956,Shipped,4,11,2014,Bikes,1678,Toysworld,USA,Medium
10021,40,82.049,4000,41968,Shipped,4,11,2014,Bikes,1678,SSD Collectables,Austria,Medium
10022,18,70.55,1269.9,41989,Shipped,4,12,2014,Bikes,1678,Fast Toys Co.,Australia,Small
10023,18,31.91,574.38,42035,Shipped,1,1,2015,Bikes,1678,RGS Gifts,France,Small
10024,38,75.36,2675.04,42064,Shipped,1,3,2015,Bikes,1678,FunGift Corp.,USA,Medium
10025,23,100,2300,42103,Shipped,2,4,2015,Bikes,1678,NA,UK,Small
10026,64,98,6272,42136,Disputed,2,5,2015,Bikes,1678,Euro Shopping Channel,Spain,Large
10027,23,97,2231,41300,Shipped,1,1,2013,Cars,1949,Baani Imports,Norway,Small
10028,25,100,2500,41355,Shipped,1,3,2013,Cars,1949,"Model Replicas, Co",Sweden,Small
10029,37,100,3700,41423,Shipped,2,5,2013,Cars,1949,"Corrida Auto Replicas, Ltd",Spain,Medium
10030,35,98,3430,41478,Shipped,3,7,2013,Cars,1949,Techno Toys,USA,Medium
10031,42,97,4074,41533,Shipped,3,9,2013,Cars,1949,"Dragon Souveniers, Ltd.",Singapore,Large
10032,17,100,1700,41565,Shipped,4,10,2013,Cars,1949,Classic Legends Inc.,USA,Small
10033,33,100,3300,41585,Shipped,4,11,2013,Cars,1949,"Australian Gift Network, Co",Australia,Medium
10034,21,98,2058,41590,Shipped,4,11,2013,Cars,1949,"Classic Gift Ideas, Inc",USA,Small
10035,39,97,3783,41600,Disputed,4,11,2013,Cars,1949,"Saveley & Henriot, Co.",France,Medium
10036,43,100,4300,41611,Shipped,4,12,2013,Cars,1949,Canadian Gift Exchange Network,Canada,Large
10037,34,100,3400,41669,Shipped,1,1,2014,Cars,1949,West Coast Collectables Co.,USA,Medium
10038,27,98,2646,41707,Shipped,1,3,2013,Cars,1949,Cambridge Collectables Co.,USA,Medium
10039,31,97,3007,41760,Shipped,2,5,2014,Cars,1949,Super Scale Inc.,USA,Medium
10040,28,100,2800,41803,Shipped,2,6,2014,Cars,1949,NA,Japan,Medium
10041,20,100,2000,41840,Shipped,3,7,2014,Cars,1949,Fast Toys Co.,Australia,Small
10042,32,98,3136,41867,Shipped,3,8,2014,Cars,1949,Amica Models & Co.,Italy,Medium
10043,34,97,3298,41887,Shipped,3,9,2014,Cars,1949,Scandinavian Gift Ideas,Sweden,Medium
10044,32,100,4300,41921,Shipped,4,10,2014,Cars,1949,Auto Assoc. & Cie.,France,Large
10045,47,100,4700,41934,Shipped,4,10,2014,Cars,1949,Mini Gifts Distributors Ltd.,USA,Large
10046,38,98,3724,41946,In Process,4,11,2014,Cars,1949,Online Diecast Creations Co.,USA,Medium
10047,23,82.049,2231,41958,Shipped,4,11,2014,Cars,1949,Wonder Toys,USA,Small
10048,26,100,2600,41970,Shipped,4,11,2014,Cars,1949,AUS Toys Co.,Australia,Medium
10049,31,100,3100,41984,Shipped,4,12,2014,Cars,1949,Mini Gifts Distributors Ltd.,USA,Medium
10050,39,98,3822,42023,Shipped,1,1,2015,Cars,1949,Collectables For Less Inc.,USA,Medium
10051,33,97,3201,42049,Shipped,1,2,2015,Cars,1949,Mind Games,USA,Medium
10052,20,100,2000,42070,Shipped,1,3,2015,Cars,1949,"Anna's Decorations, Ltd",Australia,Small
10053,22,100,2200,42126,Disputed,2,5,2015,Cars,1949,Quebec Home Shopping Network,Canada,Small
10054,48,98,4704,42154,Shipped,2,5,2015,Cars,1949,Euro Shopping Channel,Spain,Large
10055,36,96.91,3488.76,41326,Shipped,1,2,2013,Bikes,2016,Toysworld,USA,Medium
